006,2025-11-23T15:01:05-05:00,2025-11-23T15:09:48-05:00,523
011,2025-11-23T15:10:30-05:00,2025-11-23T15:11:05-05:00,35
012,2025-11-23T15:11:24-05:00,2025-11-23T15:12:12-05:00,48
013,2025-11-23T15:12:39-05:00,2025-11-23T15:13:20-05:00,41
014,2025-11-23T15:13:53-05:00,2025-11-23T15:14:15-05:00,22
016,2025-11-23T15:47:22-05:00,2025-11-23T16:06:13-05:00,1131
017,2025-11-23T16:06:21-05:00,2025-11-23T16:06:32-05:00,11
018,2025-11-23T16:06:41-05:00,2025-11-23T16:07:00-05:00,19
019,2025-11-23T16:07:13-05:00,2025-11-23T16:07:32-05:00,19
020,2025-11-23T16:07:40-05:00,2025-11-23T16:07:50-05:00,10
022,2025-11-23T18:21:00-05:00,2025-11-23T18:21:23-05:00,23
023,2025-11-23T18:21:38-05:00,2025-11-23T18:22:27-05:00,49
025,2025-11-23T18:22:38-05:00,2025-11-23T18:22:54-05:00,16
028,2025-11-23T18:23:14-05:00,2025-11-23T18:24:51-05:00,97
029,2025-11-23T18:25:04-05:00,2025-11-23T18:25:28-05:00,24
032,2025-11-23T19:31:37-05:00,2025-11-23T19:39:55-05:00,498
034,2025-11-23T19:40:06-05:00,2025-11-23T19:41:00-05:00,54
035,2025-11-23T19:41:12-05:00,2025-11-23T19:41:34-05:00,22
036,2025-11-23T19:41:47-05:00,2025-11-23T19:42:02-05:00,15
038,2025-11-23T19:42:29-05:00,2025-11-23T19:42:44-05:00,15
040,2025-11-23T19:52:02-05:00,2025-11-23T19:53:52-05:00,110
041,2025-11-23T19:53:52-05:00,2025-11-23T19:54:25-05:00,33
044,2025-11-23T19:54:25-05:00,2025-11-23T19:56:08-05:00,103
045,2025-11-23T19:56:08-05:00,2025-11-23T19:56:36-05:00,28
047,2025-11-23T19:56:36-05:00,2025-11-23T19:57:14-05:00,38
045,2025-11-23T19:56:08-05:00,2025-11-23T19:56:36-05:00,28
